,rental_id,rent,Unit Price ($/ft2),Discount Rate (γ),Balanced Price,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,NEW NEIGHBOR,borough,
7,5150,2995,5.173,0.7819792921,6.614895847,0.5,1,579,6,21,33,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016678"
216,7680,2995,4.910,0.7749206845,6.335920777,1,1,610,2,19,29,0,0,0,0,1,1,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016679"
220,118,7995,5.267,0.9660789048,5.451726968,3,2,1518,3,4,31,1,0,0,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016680"
240,4594,3700,4.849,0.7749206845,6.257774838,1,1,763,3,6,31,0,0,0,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016681"
301,9900,4000,5.822,0.7749206845,7.513564187,1,1,687,3,16,31,0,0,1,0,1,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016682"
316,3097,10780,6.704,0.9660789048,6.939371169,3,2,1608,6,12,5,1,0,0,1,0,1,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016683"
343,385,3800,5.572,0.7749206845,7.19021652,1,1,682,3,12,31,0,0,0,0,0,0,1,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016684"
368,509,3000,4.894,0.7819792921,6.258431854,0.5,1,613,3,7,31,0,1,1,1,1,0,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016685"
372,7128,3200,4.463,0.7749206845,5.759351293,1,1,717,2,5,28,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016686"
441,10680,7800,5.556,0.9466046632,5.868928996,2,2,1404,43,35,10,0,0,1,1,1,1,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016687"
442,5731,3200,5.220,0.7819792921,6.675660645,0.5,1,613,3,3,31,0,1,1,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016688"
553,6866,8500,6.033,0.9466046632,6.372932125,2,2,1409,43,15,8,0,0,0,0,0,0,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016689"
602,3794,4280,4.891,0.7749206845,6.312166741,1,1,875,43,27,10,0,0,1,1,1,1,0,0,Battery Park City,Downtown,Manhattan,"40.703564, -74.016690"
608,2253,6000,6.198,0.9466046632,6.547978632,2,2,968,3,18,31,0,0,1,1,1,0,0,1,Battery Park City,Downtown,Manhattan,"40.703564, -74.016691"
